"Symbol","Open","High","Low","Prev. Close","LTP","%chng","Volume","Value","CA "
"SHRIRAMFIN",2705.8,3044,2690,2679,2934,9.52,6439265,18508314996.85,"23-Jul-2024"
"CIPLA",1504.75,1600,1501,1500.05,1586.5,5.76,4686806,7282687239.22,"02-Aug-2024"
"DIVISLAB",4570.95,4810,4563.85,4547,4792.25,5.39,1262056,5979785395.28,"02-Aug-2024"
"BHARTIARTL",1450.25,1520,1449.15,1449.15,1511.75,4.32,9563621,14337876239.41,"11-Aug-2023"
"APOLLOHOSP",6433,6679.95,6393.55,6385.8,6650,4.14,432670,2851676049.6,"20-Feb-2024"
"ADANIPORTS",1495.9,1547.9,1490,1487,1540.75,3.61,4500404,6888228354.32,"14-Jun-2024"
"WIPRO",510,528.55,508.5,506.85,524.5,3.48,13074509,6808681306.84,"16-Jul-2024"
"TATASTEEL",158.75,162.95,158.21,157.39,162.62,3.32,45636115,7387574296.2,"21-Jun-2024"
"ADANIENT",2995,3109,2988.1,2973.5,3072.25,3.32,1939775,5948320037.5,"14-Jun-2024"
"SUNPHARMA",1670.45,1723.8,1665,1665.8,1721,3.31,4591025,7803089731,"12-Jul-2024"
"SBILIFE",1686.25,1777.7,1686.25,1695.4,1750.6,3.26,2982225,5216358858.75,"15-Mar-2024"
"LTIM",5599.85,5811.9,5585.05,5597.9,5780,3.25,497156,2861366443.32,"19-Jun-2024"
"HCLTECH",1602.8,1640,1594,1587.6,1638.8,3.22,2813950,4572640610.5,"23-Jul-2024"
"HINDALCO",660,668.5,655,646.55,667.05,3.17,4730509,3137510094.25,"14-Aug-2023"
"INFY",1825.35,1883,1825.35,1824.85,1880,3.02,11368877,21281173478.76,"31-May-2024"
"HDFCLIFE",683.15,709.8,682.05,683.15,703.25,2.94,8932963,6259773822.25,"21-Jun-2024"
"COALINDIA",498.25,511.7,498.25,494,508.45,2.93,20437719,10383587515.14,"20-Feb-2024"
"JSWSTEEL",880,908.8,875.3,874.5,899,2.8,2056321,1848899900.73,"09-Jul-2024"
"M&M",2821.6,2897.4,2790,2811.4,2881.8,2.5,2352247,6729378785.01,"05-Jul-2024"
"ITC",494.05,506.4,487.4,489.95,501.55,2.37,20735172,10330470042.12,"04-Jun-2024"